transfer_id,created_at,creator,deleted_at,update_request_id,updated_at,updater,actual_fee,amount,confirmations,currency,direction,ext_tx_id,extra_info_chunk,memo,native_price,status,user_fee,user_id,wallet_balance,payment_method_id,wallet_id,type,version
7d9e2f7ee8a620310da068a870f373632e9f80aa0a21ddd367b7cd24597414e5-0,2018.11.6 8:44,UNKNOWN,,UNKNOWN-25c569cb-57a1-4054-852b-394b25eb304a,2018.11.6 9:22,UNKNOWN,0,1,8,HDAC,DEPOSIT,7d9e2f7ee8a620310da068a870f373632e9f80aa0a21ddd367b7cd24597414e5,{},,0,COMPLETED,0,sum-user-id,1,acd94460-de75-11e8-bd11-2f9252c4dc2f,accac570-de75-11e8-bd11-2f9252c4dc2f,,1
91f078267ef7fc341ba3221c40c9d729b30dbdce771a5121e5b0ebc2501329c2-0,2018-11-07 00:38:13.043,UNKNOWN,,UNKNOWN-49d1091e-25e5-430f-8f7c-832a77b0f1bc,2018.11.7 1:11,UNKNOWN,0,1999999,8,HDAC,DEPOSIT,91f078267ef7fc341ba3221c40c9d729b30dbdce771a5121e5b0ebc2501329c2,{},,0,COMPLETED,0,sum-user-id,2000000,acd94460-de75-11e8-bd11-2f9252c4dc2f,accac570-de75-11e8-bd11-2f9252c4dc2f,,1
airdrop-20181115-hdac-00151d76-1aa0-4cd8-b18f-8dbfd4b23f9d-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1999900,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-005d559e-9146-47b5-ae3b-cc835b3d13a3-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1999800,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-00695496-589f-4b1b-8be1-383932b4b512-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1999700,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-006d5743-5b07-4268-b6a1-8483a53f0230-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1999600,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-00738e8d-efb2-4993-9ef5-578464570f6d-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1999500,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-0092137e-d8e8-4dce-bdae-bda2f6e6c1e2-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1999400,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-00bf52fe-9595-4fd6-9821-b726e7057817-withdrawal-exchange,2018-11-15 10:11:07.018,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018-11-15 10:11:07.018,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1999300,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-00c09223-23f3-4e27-b60d-9ea1a11738d6-withdrawal-exchange,2018-11-15 10:11:07.050,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018-11-15 10:11:07.050,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1999200,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
